r, g, b, x, y, z, L1, a1, b1, new_x, new_y, new_z, L2, a2, b2, percentage, d
0 40 112 15.607 8.969 73.445 14.371 28.028 -49.825 12.006 6.899 56.496 11.828 25.681 -45.653 30 5.421
0 40 120 18.123 9.78 86.579 15.261 32.311 -54.052 13.941 7.523 66.6 12.643 29.605 -49.525 30 5.887
0 40 128 20.807 10.646 100.594 16.158 36.318 -58.042 16.006 8.189 77.38 13.465 33.276 -53.182 30 6.334
0 40 136 23.928 11.653 116.89 17.141 40.422 -62.171 18.406 8.964 89.915 14.366 37.037 -56.964 30 6.802
0 40 144 27.123 12.683 133.567 18.09 44.147 -65.958 20.864 9.756 102.744 15.236 40.45 -60.434 30 7.233
0 40 152 30.353 13.725 150.436 18.999 47.532 -69.434 23.349 10.558 115.72 16.069 43.552 -63.62 30 7.632
0 40 160 33.659 14.792 167.695 19.883 50.678 -72.695 25.892 11.378 128.996 16.878 46.434 -66.608 30 8.006
0 40 168 37.075 15.893 185.53 20.753 53.653 -75.806 28.519 12.226 142.715 17.675 49.16 -69.458 30 8.364
0 40 176 40.619 17.037 204.034 21.614 56.495 -78.803 31.246 13.105 156.949 18.464 51.764 -72.204 30 8.709
0 40 184 44.35 18.24 223.512 22.479 59.263 -81.743 34.115 14.031 171.932 19.257 54.3 -74.898 30 9.048
0 40 192 48.464 19.567 244.993 23.391 62.09 -84.772 37.28 15.052 188.456 20.092 56.891 -77.673 30 9.397
0 40 200 53.904 21.322 273.394 24.535 65.53 -88.485 41.465 16.401 210.303 21.14 60.042 -81.075 30 9.825
0 40 208 59.823 23.231 304.296 25.71 68.953 -92.214 46.018 17.87 234.074 22.218 63.179 -84.492 30 10.255
0 40 216 66.203 25.289 337.605 26.907 72.339 -95.933 50.925 19.453 259.696 23.314 66.281 -87.899 30 10.684
0 40 224 72.88 27.442 372.466 28.092 75.605 -99.547 56.061 21.11 286.512 24.4 69.274 -91.211 30 11.1
0 40 232 79.007 29.419 404.457 29.126 78.394 -102.654 60.775 22.63 311.121 25.348 71.829 -94.057 30 11.457
0 40 240 85.082 31.378 436.173 30.107 80.99 -105.562 65.447 24.137 335.518 26.246 74.208 -96.722 30 11.792
0 40 248 92.543 33.785 475.128 31.257 83.982 -108.932 71.187 25.988 365.483 27.299 76.95 -99.81 30 12.179
0 48 0 2.355 6.575 0.408 11.385 -33.43 29.115 1.811 5.058 0.314 9.092 -30.631 26.677 30 4.364
0 48 8 2.422 6.597 0.761 11.416 -32.759 24.992 1.863 5.074 0.585 9.12 -30.016 22.899 30 4.144
0 48 16 2.535 6.633 1.35 11.466 -31.67 20.387 1.95 5.102 1.038 9.166 -29.018 18.679 30 3.904
0 48 24 2.79 6.715 2.68 11.579 -29.344 13.655 2.146 5.166 2.062 9.269 -26.886 12.511 30 3.561
0 48 32 3.157 6.834 4.596 11.74 -26.272 7.256 2.428 5.257 3.536 9.417 -24.072 6.648 30 3.257
0 48 40 3.594 6.975 6.878 11.929 -22.968 1.749 2.764 5.365 5.291 9.591 -21.045 1.602 30 3.032
0 48 48 4.175 7.162 9.911 12.177 -19.048 -3.833 3.211 5.509 7.624 9.818 -17.453 -3.512 30 2.866
0 48 56 4.938 7.408 13.895 12.497 -14.53 -9.532 3.798 5.699 10.688 10.11 -13.313 -8.734 30 2.795
0 48 64 5.906 7.721 18.951 12.892 -9.571 -15.244 4.543 5.939 14.577 10.472 -8.769 -13.967 30 2.85
0 48 72 7.015 8.078 24.742 13.331 -4.677 -20.534 5.396 6.214 19.033 10.875 -4.285 -18.814 30 3.024
0 48 80 8.369 8.515 31.807 13.85 0.459 -25.849 6.437 6.55 24.467 11.351 0.42 -23.684 30 3.307
0 48 88 9.991 9.038 40.281 14.45 5.733 -31.147 7.686 6.953 30.985 11.9 5.253 -28.539 30 3.679
0 48 96 11.88 9.648 50.142 15.119 10.987 -36.328 9.139 7.421 38.571 12.513 10.067 -33.286 30 4.11
0 48 104 14.01 10.334 61.26 15.841 16.075 -41.295 10.777 7.95 47.123 13.174 14.729 -37.837 30 4.569
0 48 112 16.369 11.095 73.577 16.604 20.949 -46.037 12.591 8.535 56.598 13.874 19.195 -42.182 30 5.039
0 48 120 18.884 11.907 86.712 17.38 25.485 -50.453 14.527 9.159 66.701 14.585 23.351 -46.228 30 5.497
0 48 128 21.569 12.773 100.726 18.17 29.751 -54.621 16.591 9.825 77.482 15.309 27.259 -50.047 30 5.943
0 48 136 24.69 13.779 117.022 19.046 34.136 -58.932 18.992 10.6 90.017 16.111 31.278 -53.997 30 6.414
0 48 144 27.884 14.81 133.699 19.898 38.126 -62.882 21.449 11.392 102.846 16.892 34.933 -57.616 30 6.853
0 48 152 31.115 15.852 150.568 20.721 41.757 -66.504 23.935 12.194 115.821 17.646 38.26 -60.935 30 7.259
0 48 160 34.421 16.918 167.827 21.527 45.132 -69.897 26.478 13.014 129.098 18.384 41.352 -64.044 30 7.643
0 48 168 37.837 18.02 185.662 22.324 48.323 -73.13 29.105 13.862 142.817 19.115 44.276 -67.006 30 8.011
0 48 176 41.381 19.163 204.166 23.118 51.37 -76.24 31.831 14.741 157.051 19.842 47.068 -69.856 30 8.366
0 48 184 45.111 20.367 223.644 23.92 54.333 -79.288 34.701 15.667 172.034 20.577 49.783 -72.649 30 8.716
0 48 192 49.226 21.694 245.125 24.769 57.358 -82.423 37.866 16.688 188.558 21.355 52.555 -75.521 30 9.075
