r, g, b, x, y, z, L1, a1, b1, new_x, new_y, new_z, L2, a2, b2, percentage, d
0 32 40 0.566 0.815 1.662 1.474 -6.253 -5.359 0.435 0.627 1.278 1.134 -5.729 -4.911 30 0.769
0 32 48 0.711 0.862 2.42 1.558 -3.198 -8.775 0.547 0.663 1.862 1.199 -2.93 -8.04 30 0.861
0 32 56 0.902 0.924 3.416 1.67 0.088 -12.206 0.694 0.71 2.628 1.284 0.081 -11.184 30 1.092
0 32 64 1.144 1.002 4.68 1.811 3.473 -15.599 0.88 0.771 3.6 1.393 3.183 -14.293 30 1.402
0 32 72 1.421 1.091 6.128 1.972 6.641 -18.707 1.093 0.839 4.714 1.517 6.085 -17.14 30 1.723
0 32 80 1.76 1.2 7.894 2.17 9.822 -21.803 1.354 0.923 6.072 1.669 8.999 -19.977 30 2.064
0 32 88 2.165 1.331 10.013 2.406 12.969 -24.869 1.666 1.024 7.702 1.851 11.883 -22.787 30 2.413
0 32 96 2.638 1.483 12.478 2.682 16.013 -27.854 2.029 1.141 9.598 2.063 14.672 -25.521 30 2.761
0 32 104 3.17 1.655 15.257 2.992 18.894 -30.709 2.438 1.273 11.736 2.302 17.312 -28.137 30 3.097
0 32 112 3.76 1.845 18.337 3.336 21.61 -33.432 2.892 1.42 14.105 2.566 19.8 -30.633 30 3.421
0 32 120 4.389 2.048 21.62 3.703 24.108 -35.971 3.376 1.576 16.631 2.848 22.089 -32.959 30 3.725
0 32 128 5.06 2.265 25.124 4.094 26.441 -38.371 3.892 1.742 19.326 3.149 24.227 -35.158 30 4.015
0 32 136 5.84 2.516 29.198 4.549 28.829 -40.859 4.492 1.936 22.46 3.499 26.415 -37.437 30 4.317
0 32 144 6.639 2.774 33.367 5.014 30.998 -43.145 5.107 2.134 25.667 3.857 28.403 -39.532 30 4.597
0 32 152 7.446 3.035 37.584 5.485 32.973 -45.249 5.728 2.334 28.911 4.22 30.212 -41.46 30 4.856
0 32 160 8.273 3.301 41.899 5.967 34.811 -47.225 6.364 2.539 32.23 4.59 31.895 -43.271 30 5.102
0 32 168 9.127 3.577 46.358 6.465 36.552 -49.115 7.021 2.751 35.66 4.973 33.491 -45.002 30 5.34
0 32 176 10.013 3.862 50.984 6.982 38.22 -50.938 7.702 2.971 39.218 5.371 35.02 -46.673 30 5.571
0 32 184 10.945 4.163 55.853 7.526 39.848 -52.731 8.42 3.202 42.964 5.789 36.511 -48.315 30 5.801
0 32 192 11.974 4.495 61.224 8.125 41.515 -54.58 9.211 3.458 47.095 6.25 38.039 -50.009 30 6.041
0 32 200 13.334 4.934 68.324 8.885 43.549 -56.851 10.257 3.795 52.557 6.86 39.902 -52.09 30 6.33
0 32 208 14.814 5.411 76.049 9.663 45.58 -59.136 11.395 4.162 58.5 7.524 41.763 -54.184 30 6.608
0 32 216 16.409 5.925 84.377 10.452 47.596 -61.42 12.622 4.558 64.905 8.237 43.61 -56.276 30 6.874
0 32 224 18.078 6.464 93.092 11.23 49.546 -63.643 13.906 4.972 71.609 8.95 45.397 -58.313 30 7.129
0 32 232 19.61 6.958 101.09 11.907 51.216 -65.556 15.084 5.352 77.761 9.57 46.927 -60.067 30 7.348
0 32 240 21.128 7.448 109.019 12.547 52.775 -67.35 16.253 5.729 83.861 10.157 48.355 -61.71 30 7.553
0 32 248 22.994 8.049 118.757 13.296 54.576 -69.431 17.687 6.192 91.352 10.843 50.005 -63.617 30 7.792
0 40 0 0.398 1.112 0.069 2.01 -18.488 16.101 0.306 0.855 0.053 1.546 -16.94 14.753 30 2.105
0 40 8 0.415 1.118 0.157 2.02 -17.942 12.985 0.319 0.86 0.121 1.554 -16.44 11.898 30 1.912
0 40 16 0.443 1.127 0.304 2.037 -17.068 9.809 0.341 0.867 0.234 1.567 -15.638 8.988 30 1.714
0 40 24 0.507 1.147 0.637 2.074 -15.245 5.388 0.39 0.882 0.49 1.595 -13.968 4.936 30 1.436
0 40 32 0.599 1.177 1.116 2.127 -12.916 1.297 0.461 0.905 0.859 1.636 -11.834 1.189 30 1.193
0 40 40 0.708 1.212 1.686 2.191 -10.493 -2.174 0.545 0.932 1.297 1.685 -9.615 -1.992 30 1.03
